Density,aixtal_microscopy,
Electrical resistivity,terakoya_measurement,
,,
No,Density [counts/mm2],Electrical resistivity [ohmm]@300K]
1,112.9297367,5.04
2,128.7223658,4.25
3,126.1319348,6.89
4,122.4780434,1.46
5,122.8120425,3.43
6,116.5614653,9.55
7,121.5659069,1.29
8,126.2001604,8.53
9,125.6197221,4.22
10,127.4524483,1.61
11,120.457402,7.84
12,123.8850566,8.17
13,121.7171108,3.49
14,117.9528575,1.13
15,118.5495993,6.17
16,129.5396706,3.33
17,116.2006792,6.56
18,125.3594134,8.58
19,114.4025299,2.43
20,130.9901172,1.97
21,115.0585236,7.93
22,116.743444,4.53
23,112.3182804,2.17
24,115.1482443,1.51
25,126.753492,2.7
26,116.7319003,9.37
27,125.9917688,4.14
28,124.8958493,3.93
29,130.6802565,4.94
30,123.4840656,1.21
31,117.348858,6.56
32,122.0762173,9.99
33,120.6403367,7.02
34,115.1907912,2.84
35,122.5257731,2.78
36,118.5614662,5.82
37,119.906647,1.64
38,115.3352664,5.62
39,124.1857366,1.63
40,120.0021075,3.98
41,118.1271927,8.01
42,126.5577281,7.91
43,121.5580544,6.23
44,116.0505336,7.11
45,123.3389922,4.33
46,125.2731203,6.26
47,126.7342048,4.97
48,125.9870349,6.78
49,122.5096006,7.14
50,121.7952916,4.18
51,113.8876522,6.72
52,119.7713922,8.3
53,123.0664969,9.61
54,118.4243869,8.25
55,122.6803063,6.63
56,116.012717,1.42
57,113.0920631,6.47
58,126.5530143,9.94
59,120.4338604,9.18
60,113.4543658,5.11
61,122.3988799,9.97
62,112.1993842,7.11
63,116.9716897,8.93
64,112.2586581,9.61
65,127.3267066,4.87
66,112.4662138,4.31
67,127.7506383,7.29
68,117.1912618,7.64
69,127.8367362,1.94
70,117.2362717,5.94
71,118.1942399,2.31
72,127.8460854,9.45
73,123.6183392,8.29
74,125.9886075,6.4
75,115.8059574,7.75
76,114.845752,1.49
77,119.950616,2.71
78,113.3792277,6.03
79,121.1810934,3.58
80,122.8203173,4.56
81,123.5154928,9.03
82,123.2758513,8.45
83,122.9856822,1.31
84,120.976574,6.63
85,117.1732407,2.24
86,117.8449434,4.34
87,114.6062532,2.37
88,124.823967,5
89,117.5867344,6.8
90,114.4925335,3.81
91,114.5182404,8.35
92,126.5689743,2.83
93,125.3724872,1.34
94,127.4488483,6.83
95,123.025401,3.06
96,126.7746927,8.66
97,116.6070096,3.51
98,116.328268,2.24
99,118.8201465,4.36
100,125.1916929,6.71
101,116.5505641,5.66
102,118.7509501,1.36
103,118.7147497,9.33
104,129.6095203,5.82
105,128.4430888,2.03
106,130.0539248,7.05
107,121.2153855,9.12
108,123.3874619,2.06
109,122.5324602,8.68
110,128.1224959,1.38
111,117.0224239,1.61
112,132.2770568,5.88
113,130.518506,1.73
114,119.1531731,8.27
115,128.6653007,6.03
116,121.3688116,6.24
117,123.6708515,3.11
118,114.9182902,9.62
119,121.0077865,6.44
120,117.2023357,5.12
121,127.6093633,6.17
122,114.9122527,4.35
123,115.7700061,5.71
124,117.2190234,6.61
125,112.0803489,2.37
126,122.2457139,4.55
127,123.1225157,8.64
128,119.0031158,6.71
129,125.6091718,7.96
130,123.6196334,4.48
131,117.7919595,7.04
132,122.8437298,8.72
133,121.8217795,7.99
134,129.6261408,1.52
135,128.0017859,3.82
136,124.4897959,4.9
137,116.8265158,7.73
138,124.5251806,7.57
139,120.3922826,5.56
140,122.8384996,7.1
141,124.6434143,7.15
142,119.5772962,3.7
143,115.2713254,1.17
144,123.3315545,6.88
145,124.2523896,4.48
146,125.9491654,8.33
147,124.6312248,2.78
148,132.270031,3.51
149,129.3685198,8.36
150,119.8529192,1.02
151,122.5579889,4.9
152,110.8673543,5.39
153,116.6085786,8.82
154,119.7208257,5.69
155,117.0375485,1.15
156,121.0966235,4.14
157,119.4269885,2.67
158,122.6017825,8.95
159,119.4074773,6.76
160,123.0884722,2.3
161,115.7632849,9.09
162,120.5942021,9.72
163,118.7888125,9.41
164,115.1926614,3.82
165,122.8153683,7.99
166,115.2844098,7.45
167,123.8881943,5.14
168,118.6718504,6.44
169,121.5306567,7.27
170,123.5824594,8.79
171,125.2428473,4.58
172,128.3503078,6.18
173,129.3469882,6.43
174,128.5472109,2.42
175,114.0314355,1.66
176,127.5860182,7.75
177,126.0753972,3.64
178,116.9337287,2.39
179,126.5672176,2.02
180,115.76787,2.4
181,126.0669885,6.01
182,116.4228686,8.13
